GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
2353	3.74e-74	2.01e-78	0.3764	-18.748003	-7.0564819	913.85	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
5996	7.45e-40	8.00e-44	0.3445	-13.883263	-4.7833928	111.98	RGS1	regulator of G protein signaling 1
1843	1.01e-38	1.62e-42	0.2431	-13.666048	-3.322789	2379.65	DUSP1	dual specificity phosphatase 1
2137	1.53e-38	3.29e-42	0.0996	13.614354	1.3563528	564.59	EXTL3	exostosin like glycosyltransferase 3
112268426	3.29e-38	8.83e-42	0.2536	-13.542021	-3.4341018	25.66	LOC112268426	
23514	2.19e-36	7.05e-40	0.1001	-13.216414	-1.3224217	423.2	SPIDR	scaffold protein involved in DNA repair
8660	1.06e-34	4.00e-38	0.2011	-12.909056	-2.5956463	580.62	IRS2	insulin receptor substrate 2
9682	1.80e-34	7.75e-38	0.0908	12.858094	1.167143	909.61	KDM4A	lysine demethylase 4A
84747	1.26e-33	6.10e-37	0.1073	12.69754	1.3618408	639.39	UNC119B	unc-119 lipid binding chaperone B
5029	4.02e-32	2.16e-35	0.1577	12.415306	1.9584248	258.74	P2RY2	purinergic receptor P2Y2
53842	5.67e-30	3.35e-33	0.2076	-12.004949	-2.4917485	33.99	CLDN22	claudin 22
23344	1.46e-29	9.42e-33	0.0974	11.919038	1.1613128	2422.37	ESYT1	extended synaptotagmin 1
2023	2.23e-29	1.55e-32	0.089	11.877257	1.057318	8979.06	ENO1	enolase 1
4929	3.15e-29	2.37e-32	0.296	-11.841923	-3.5056522	43.82	NR4A2	nuclear receptor subfamily 4 group A member 2
22822	1.09e-28	8.77e-32	0.2062	-11.731683	-2.4191466	238.2	PHLDA1	pleckstrin homology like domain family A member 1
56892	1.25e-28	1.07e-31	0.2094	-11.71473	-2.4530614	1342.71	TCIM	transcriptional and immune response regulator
102466854	1.52e-28	1.39e-31	0.3187	-11.692755	-3.7268758	52.73	MIR7705	microRNA 7705
1052	3.18e-28	3.07e-31	0.2266	-11.625082	-2.633841	376.2	CEBPD	CCAAT enhancer binding protein delta
3491	2.39e-27	2.44e-30	0.298	-11.446716	-3.4109204	216.7	CCN1	cellular communication network factor 1
284613	5.45e-27	5.86e-30	0.1063	11.37061	1.2082864	200.31	CYB561D1	cytochrome b561 family member D1
9703	5.45e-27	6.15e-30	0.1262	11.366394	1.4347065	2571.33	BLTP2	bridge-like lipid transfer protein family member 2
125058	1.31e-26	1.55e-29	0.1278	11.28548	1.4424989	505.59	TBC1D16	TBC1 domain family member 16
440926	1.64e-26	2.02e-29	0.1174	-11.262014	-1.3225036	1467.77	H3P6	H3 histone pseudogene 6
79947	5.27e-26	7.03e-29	0.0738	11.151578	0.8228982	417.37	DHDDS	dehydrodolichyl diphosphate synthase subunit
5297	5.27e-26	7.07e-29	0.0998	11.151158	1.112448	890.31	PI4KA	phosphatidylinositol 4-kinase alpha
4836	5.87e-26	8.19e-29	0.0661	11.138022	0.7366992	2366.03	NMT1	N-myristoyltransferase 1
284114	1.01e-25	1.47e-28	0.1676	11.085824	1.85786	66.17	TMEM102	transmembrane protein 102
29855	2.00e-25	3.00e-28	0.0825	11.021728	0.9091135	713.89	UBN1	ubinuclein 1
100506436	2.50e-25	3.89e-28	0.0992	10.998394	1.0915115	208.87	SPAG5-AS1	SPAG5 antisense RNA 1
7763	4.07e-25	6.56e-28	0.235	-10.951135	-2.5737004	3200.55	ZFAND5	zinc finger AN1-type containing 5
84231	6.04e-25	1.00e-27	0.1355	10.912502	1.4791286	829.4	TRAF7	TNF receptor associated factor 7
200205	7.99e-25	1.37e-27	0.1083	10.884124	1.1785536	271.09	IBA57	iron-sulfur cluster assembly factor IBA57
694	1.15e-24	2.03e-27	0.123	-10.848401	-1.3345045	2386.67	BTG1	BTG anti-proliferation factor 1
5211	1.21e-24	2.21e-27	0.1663	10.840596	1.803216	2266.21	PFKL	phosphofructokinase, liver type
81575	1.30e-24	2.45e-27	0.2647	-10.831133	-2.8666539	84.92	APOLD1	apolipoprotein L domain containing 1
55735	1.69e-24	3.27e-27	0.1086	10.804702	1.1735535	545.08	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
4616	2.68e-24	5.33e-27	0.2279	-10.759829	-2.4525549	891.97	GADD45B	growth arrest and DNA damage inducible beta
25813	2.98e-24	6.07e-27	0.0857	10.747738	0.9208273	826.73	SAMM50	SAMM50 sorting and assembly machinery component
259307	5.16e-24	1.08e-26	0.2459	10.694534	2.6294617	646	IL4I1	interleukin 4 induced 1
98	5.17e-24	1.11e-26	0.0819	-10.69187	-0.8758935	348.51	ACYP2	acylphosphatase 2
5997	6.86e-24	1.51e-26	0.2346	-10.663396	-2.5017244	172.73	RGS2	regulator of G protein signaling 2
64651	1.32e-23	2.98e-26	0.1926	-10.60015	-2.0418584	217.23	CSRNP1	cysteine and serine rich nuclear protein 1
63891	1.34e-23	3.12e-26	0.0943	10.595602	0.9993308	1219.99	RNF123	ring finger protein 123
84271	1.34e-23	3.17e-26	0.0737	10.594351	0.7812819	1003.49	POLDIP3	DNA polymerase delta interacting protein 3
5708	1.60e-23	3.86e-26	0.1024	10.575696	1.0832282	2067.14	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2
54868	2.58e-23	6.36e-26	0.1413	10.528807	1.4876089	305.37	TMEM104	transmembrane protein 104
7538	3.38e-23	8.53e-26	0.1995	-10.501166	-2.0954901	676.05	ZFP36	ZFP36 ring finger protein
92482	3.43e-23	8.83e-26	0.1152	-10.497878	-1.2090976	286.95	BBIP1	BBSome interacting protein 1
9827	4.53e-23	1.19e-25	0.0995	10.469601	1.0413335	497.41	RGP1	RGP1 homolog, RAB6A GEF complex partner 1
10489	7.76e-23	2.08e-25	0.0646	10.416581	0.6729968	893.52	LRRC41	leucine rich repeat containing 41
51667	1.06e-22	2.91e-25	0.0767	10.38483	0.7964138	803.2	NUB1	negative regulator of ubiquitin like proteins 1
10497	1.16e-22	3.25e-25	0.0893	10.374188	0.9263918	1321.01	UNC13B	unc-13 homolog B
24144	2.75e-22	7.82e-25	0.0644	10.289964	0.6628849	593.91	TFIP11	tuftelin interacting protein 11
26262	3.43e-22	9.95e-25	0.0956	10.266734	0.9817377	552.16	TSPAN17	tetraspanin 17
284996	3.55e-22	1.05e-24	0.0952	-10.261806	-0.9769468	795.23	RNF149	ring finger protein 149
309	4.91e-22	1.48e-24	0.1477	10.228579	1.5103576	6231.36	ANXA6	annexin A6
102724428	9.34e-22	2.86e-24	0.3169	-10.164367	-3.2211791	150.07	LOC102724428	salt inducible kinase 1B (putative)
161835	9.53e-22	2.97e-24	0.4666	-10.160763	-4.7412836	26.87	FSIP1	fibrous sheath interacting protein 1
60528	9.70e-22	3.07e-24	0.0725	10.157314	0.7363431	1093.09	ELAC2	elaC ribonuclease Z 2
84661	1.40e-21	4.50e-24	0.1007	-10.120159	-1.018836	580.24	DPY30	dpy-30 histone methyltransferase complex regulatory subunit
1326	1.58e-21	5.17e-24	0.1409	-10.106466	-1.4243825	117.57	MAP3K8	mitogen-activated protein kinase kinase kinase 8
7866	1.79e-21	5.95e-24	0.102	10.092692	1.029633	927.78	IFRD2	interferon related developmental regulator 2
27291	2.01e-21	6.79e-24	0.0673	10.079803	0.6788719	259.63	R3HCC1L	R3H domain and coiled-coil containing 1 like
10419	2.23e-21	7.66e-24	0.0898	10.067884	0.9038315	440.29	PRMT5	protein arginine methyltransferase 5
100500842	3.16e-21	1.11e-23	0.295	10.031345	2.9587867	286.71	MIR3652	microRNA 3652
50	3.16e-21	1.12e-23	0.1079	10.030337	1.0818737	1696.45	ACO2	aconitase 2
55225	3.78e-21	1.36e-23	0.1309	-10.011154	-1.3104249	233.67	RAVER2	ribonucleoprotein, PTB binding 2
107986152	4.52e-21	1.65e-23	0.3015	-9.992062	-3.0128681	170.51	LOC107986152	
84650	5.36e-21	1.99e-23	0.1333	-9.973737	-1.3299881	1664.04	EBPL	EBP like
101929384	5.66e-21	2.13e-23	0.2222	9.966862	2.214273	71.33	SLC6A12-AS1	SLC6A12 antisense RNA 1
29080	6.05e-21	2.31e-23	0.1022	-9.95891	-1.0181274	213.29	CCDC59	coiled-coil domain containing 59
80331	1.08e-20	4.18e-23	0.0897	9.899597	0.8882197	790.53	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
79711	1.19e-20	4.68e-23	0.1235	9.888307	1.2212127	356.3	IPO4	importin 4
10131	1.19e-20	4.74e-23	0.1039	9.886993	1.0276932	1934.31	TRAP1	TNF receptor associated protein 1
208	1.37e-20	5.53e-23	0.0995	9.871621	0.9825124	2648.55	AKT2	AKT serine/threonine kinase 2
3913	1.45e-20	5.91e-23	0.1393	9.864889	1.3737532	2637.1	LAMB2	laminin subunit beta 2
8602	1.68e-20	6.93e-23	0.0763	9.848833	0.751472	545.19	NOP14	NOP14 nucleolar protein
100302739	2.34e-20	9.78e-23	0.1912	9.814171	1.8768464	78.8	PCNA-AS1	PCNA antisense RNA 1
3340	2.41e-20	1.02e-22	0.1247	9.809884	1.223284	3305.04	NDST1	N-deacetylase and N-sulfotransferase 1
