GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
23514	2.78e-60	1.39e-64	0.0768	-16.96915	-1.3037969	387.26	SPIDR	scaffold protein involved in DNA repair
5996	6.35e-50	6.34e-54	0.2826	-15.461224	-4.36884	63.05	RGS1	regulator of G protein signaling 1
2354	8.49e-48	1.27e-51	0.4905	-15.115945	-7.414072	58.58	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
4929	2.26e-43	4.51e-47	0.235	-14.409462	-3.3861274	28.66	NR4A2	nuclear receptor subfamily 4 group A member 2
56892	2.02e-41	5.05e-45	0.171	-14.079892	-2.4078624	1040.52	TCIM	transcriptional and immune response regulator
81575	3.83e-38	1.15e-41	0.2017	-13.522777	-2.7274969	63.64	APOLD1	apolipoprotein L domain containing 1
7763	1.54e-34	5.36e-38	0.189	-12.886484	-2.4352703	2544.95	ZFAND5	zinc finger AN1-type containing 5
3164	5.74e-33	2.29e-36	0.2817	-12.593526	-3.5471381	48.27	NR4A1	nuclear receptor subfamily 4 group A member 1
5997	9.49e-33	4.26e-36	0.1917	-12.54452	-2.4045209	136.17	RGS2	regulator of G protein signaling 2
64651	2.14e-32	1.15e-35	0.1629	-12.465811	-2.030124	177.6	CSRNP1	cysteine and serine rich nuclear protein 1
8660	2.14e-32	1.17e-35	0.2143	-12.464026	-2.6713145	412.92	IRS2	insulin receptor substrate 2
125058	4.57e-32	2.74e-35	0.1132	12.396242	1.4037781	545.8	TBC1D16	TBC1 domain family member 16
9682	8.02e-32	5.20e-35	0.0918	12.344749	1.1336309	977.2	KDM4A	lysine demethylase 4A
2353	3.98e-31	2.78e-34	0.4939	-12.209124	-6.029548	415.5	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
1052	1.62e-29	1.21e-32	0.2275	-11.898075	-2.7074014	266.23	CEBPD	CCAAT enhancer binding protein delta
100506436	1.64e-29	1.31e-32	0.0919	11.891618	1.0925878	228.81	SPAG5-AS1	SPAG5 antisense RNA 1
2137	9.54e-29	8.57e-32	0.117	11.733673	1.3732013	631.44	EXTL3	exostosin like glycosyltransferase 3
4616	9.54e-29	8.17e-32	0.2262	-11.737724	-2.6555932	609.98	GADD45B	growth arrest and DNA damage inducible beta
1843	1.22e-28	1.21e-31	0.2659	-11.704093	-3.1122704	1679.36	DUSP1	dual specificity phosphatase 1
4792	1.22e-28	1.19e-31	0.107	-11.705527	-1.2529766	1957.3	NFKBIA	NFKB inhibitor alpha
648791	1.23e-28	1.29e-31	0.3355	-11.698897	-3.9244263	42.8	PPP1R3G	protein phosphatase 1 regulatory subunit 3G
7538	2.42e-28	2.65e-31	0.1792	-11.637593	-2.0853294	547.53	ZFP36	ZFP36 ring finger protein
8013	9.54e-28	1.09e-30	0.3507	-11.516067	-4.0385968	13.11	NR4A3	nuclear receptor subfamily 4 group A member 3
84747	5.49e-27	6.57e-30	0.1134	11.360602	1.2882215	672.95	UNC119B	unc-119 lipid binding chaperone B
90390	2.42e-26	3.02e-29	0.0964	-11.226618	-1.0818787	95.98	MED30	mediator complex subunit 30
5029	2.91e-26	3.77e-29	0.1835	11.206895	2.0568578	311.04	P2RY2	purinergic receptor P2Y2
101928527	3.65e-26	4.92e-29	0.0858	-11.183432	-0.959676	103.86	PIGBOS1	PIGB opposite strand 1
84231	3.29e-25	4.59e-28	0.1308	10.98339	1.4361446	893.29	TRAF7	TNF receptor associated factor 7
200081	1.17e-24	1.69e-27	0.0914	10.865128	0.9934673	1519.25	TXLNA	taxilin alpha
284613	1.52e-24	2.27e-27	0.1097	10.838043	1.1886446	217.43	CYB561D1	cytochrome b561 family member D1
29855	1.64e-24	2.54e-27	0.0835	10.827826	0.9040717	773.45	UBN1	ubinuclein 1
284114	1.75e-24	2.79e-27	0.1633	10.819196	1.7664938	69.6	TMEM102	transmembrane protein 102
112268426	5.15e-24	8.48e-27	0.2513	-10.716905	-2.6936712	22.55	LOC112268426	
3312	5.70e-24	9.66e-27	0.1684	10.704825	1.8024111	20878.73	HSPA8	heat shock protein family A (Hsp70) member 8
2023	7.20e-24	1.26e-26	0.0963	10.680401	1.0289753	9636.17	ENO1	enolase 1
105374898	7.38e-24	1.33e-26	0.1392	-10.675446	-1.4861339	23.04	LOC105374898	uncharacterized LOC105374898
26262	1.99e-23	3.67e-26	0.0905	10.580565	0.9577266	592.32	TSPAN17	tetraspanin 17
161835	4.37e-23	8.28e-26	0.3623	-10.504032	-3.8052132	18.16	FSIP1	fibrous sheath interacting protein 1
414328	8.03e-23	1.56e-25	0.1103	-10.443877	-1.1522923	709.89	IDNK	IDNK gluconokinase
5211	8.51e-23	1.70e-25	0.159	10.435991	1.6597257	2298.37	PFKL	phosphofructokinase, liver type
388	1.79e-22	3.67e-25	0.1901	-10.362602	-1.9699318	4102.81	RHOB	ras homolog family member B
6560	1.88e-22	3.94e-25	0.1067	10.355741	1.1044777	797.78	SLC12A4	solute carrier family 12 member 4
23463	2.22e-22	4.77e-25	0.0868	10.337462	0.8975722	924.73	ICMT	isoprenylcysteine carboxyl methyltransferase
56521	2.43e-22	5.45e-25	0.1648	-10.324661	-1.701979	476.72	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
23344	2.43e-22	5.38e-25	0.1159	10.325907	1.1966268	2723.34	ESYT1	extended synaptotagmin 1
694	3.39e-22	7.77e-25	0.1245	-10.290572	-1.2809948	2225.8	BTG1	BTG anti-proliferation factor 1
1326	8.15e-22	1.91e-24	0.1272	-10.203589	-1.2974246	113.2	MAP3K8	mitogen-activated protein kinase kinase kinase 8
650669	8.69e-22	2.08e-24	0.2656	10.19531	2.7083059	122.84	GAS6-AS1	GAS6 antisense RNA 1
4836	8.76e-22	2.14e-24	0.0667	10.192537	0.6797387	2457.83	NMT1	N-myristoyltransferase 1
127707	9.80e-22	2.44e-24	0.1679	10.179648	1.7096569	502.98	KLHDC7A	kelch domain containing 7A
2041	1.01e-21	2.57e-24	0.1292	10.174659	1.3141643	919.51	EPHA1	EPH receptor A1
4097	2.58e-21	6.68e-24	0.1008	10.08131	1.0166386	266.1	MAFG	MAF bZIP transcription factor G
98	2.81e-21	7.44e-24	0.0876	-10.070773	-0.8823654	331.44	ACYP2	acylphosphatase 2
10383	2.92e-21	7.86e-24	0.1267	10.065322	1.2757513	2020.45	TUBB4B	tubulin beta 4B class IVb
60528	3.46e-21	9.51e-24	0.0704	10.046619	0.7069322	1156.44	ELAC2	elaC ribonuclease Z 2
63891	4.95e-21	1.38e-23	0.0909	10.009598	0.9101491	1253.7	RNF123	ring finger protein 123
9670	7.00e-21	1.99e-23	0.0899	9.973485	0.8970889	564.22	IPO13	importin 13
27291	7.09e-21	2.05e-23	0.0726	9.970581	0.7235352	287.91	R3HCC1L	R3H domain and coiled-coil containing 1 like
3913	8.64e-21	2.54e-23	0.1377	9.949155	1.369757	2906.06	LAMB2	laminin subunit beta 2
79947	1.02e-20	3.11e-23	0.085	9.929139	0.8438578	458.55	DHDDS	dehydrodolichyl diphosphate synthase subunit
5708	1.02e-20	3.10e-23	0.1079	9.929361	1.0714931	2245.51	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2
113218482	1.22e-20	3.78e-23	0.1769	9.909733	1.7534643	413.48	MIR9898	microRNA 9898
100873985	1.50e-20	4.71e-23	0.2094	-9.887698	-2.0701653	11.8	MED14OS	MED14 opposite strand
51390	1.50e-20	4.80e-23	0.0711	-9.885712	-0.7032197	5057.23	AIG1	androgen induced 1
153090	1.99e-20	6.45e-23	0.1434	9.856167	1.4130029	508.69	DAB2IP	DAB2 interacting protein
107984661	1.99e-20	6.57e-23	0.1781	9.85432	1.7554594	72.89	LOC107984661	uncharacterized LOC107984661
55735	2.06e-20	6.98e-23	0.1135	9.848184	1.1180922	576.57	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
644815	2.06e-20	6.97e-23	0.2046	9.84833	2.0146968	736.45	FAM83G	family with sequence similarity 83 member G
10912	2.21e-20	7.62e-23	0.3203	-9.839359	-3.1515379	170.2	GADD45G	growth arrest and DNA damage inducible gamma
388789	2.21e-20	7.73e-23	0.1049	-9.837902	-1.0322179	662.8	SMIM26	small integral membrane protein 26
10171	2.36e-20	8.37e-23	0.1267	-9.829846	-1.245441	1679.57	RCL1	RNA terminal phosphate cyclase like 1
29080	3.38e-20	1.21e-22	0.1084	-9.792427	-1.0616039	195.15	CCDC59	coiled-coil domain containing 59
9827	4.07e-20	1.48e-22	0.1005	9.772104	0.9823111	522.57	RGP1	RGP1 homolog, RAB6A GEF complex partner 1
10497	4.88e-20	1.80e-22	0.1009	9.752295	0.9838354	1494.09	UNC13B	unc-13 homolog B
55662	4.97e-20	1.86e-22	0.0665	9.749204	0.6483947	744.37	HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor
9673	5.07e-20	1.92e-22	0.0863	9.745883	0.8410392	1355.93	SLC25A44	solute carrier family 25 member 44
64834	6.36e-20	2.45e-22	0.093	9.721356	0.9043531	664.74	ELOVL1	ELOVL fatty acid elongase 1
84803	7.03e-20	2.74e-22	0.2286	-9.709745	-2.2195149	166.59	GPAT3	glycerol-3-phosphate acyltransferase 3
54868	7.03e-20	2.77e-22	0.1575	9.708587	1.52918	348.69	TMEM104	transmembrane protein 104
22822	1.21e-19	4.84e-22	0.2127	-9.651531	-2.0525237	220.56	PHLDA1	pleckstrin homology like domain family A member 1
9703	2.64e-19	1.07e-21	0.1448	9.570118	1.3854309	2757.85	BLTP2	bridge-like lipid transfer protein family member 2
84650	3.37e-19	1.38e-21	0.1564	-9.543688	-1.4923372	1367.41	EBPL	EBP like
5428	3.49e-19	1.45e-21	0.077	9.538718	0.734476	723.88	POLG	DNA polymerase gamma, catalytic subunit
79680	3.96e-19	1.66e-21	0.0921	9.524533	0.8774946	329.67	RTL10	retrotransposon Gag like 10
57016	4.43e-19	1.90e-21	0.584	9.510434	5.5539319	1124.02	AKR1B10	aldo-keto reductase family 1 member B10
286343	4.43e-19	1.89e-21	0.1799	-9.510778	-1.7109727	286.75	LURAP1L	leucine rich adaptor protein 1 like
3340	4.69e-19	2.04e-21	0.1158	9.503105	1.1009295	3350.07	NDST1	N-deacetylase and N-sulfotransferase 1
220002	6.95e-19	3.05e-21	0.109	9.460965	1.0309839	528.32	CYB561A3	cytochrome b561 family member A3
3856	7.26e-19	3.23e-21	0.1572	9.455147	1.4859235	8596.62	KRT8	keratin 8
80331	7.49e-19	3.36e-21	0.0863	9.450789	0.8155599	818.02	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
2314	9.96e-19	4.52e-21	0.1115	9.41976	1.05061	1143.47	FLII	FLII actin remodeling protein
59274	9.97e-19	4.57e-21	0.126	-9.418533	-1.1863959	120.4	TLNRD1	talin rod domain containing 1
9600	1.08e-18	5.00e-21	0.2098	9.409095	1.9742623	207.21	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
55805	1.35e-18	6.33e-21	0.1069	-9.384305	-1.0028586	54.78	LRP2BP	LRP2 binding protein
9415	1.35e-18	6.39e-21	0.304	9.383446	2.8523624	8553.57	FADS2	fatty acid desaturase 2
5297	1.40e-18	6.71e-21	0.1103	9.378228	1.0345117	925.67	PI4KA	phosphatidylinositol 4-kinase alpha
55222	1.41e-18	6.83e-21	0.1168	9.376341	1.095008	756.47	LRRC20	leucine rich repeat containing 20
4141	2.58e-18	1.26e-20	0.0865	9.311226	0.8050799	1002.93	MARS1	methionyl-tRNA synthetase 1
1051	3.80e-18	1.88e-20	0.181	-9.269094	-1.6779011	875.65	CEBPB	CCAAT enhancer binding protein beta
51660	4.17e-18	2.08e-20	0.1413	-9.258112	-1.3082044	3465.24	MPC1	mitochondrial pyruvate carrier 1
10067	4.31e-18	2.17e-20	0.0709	9.25351	0.6565161	654.86	SCAMP3	secretory carrier membrane protein 3
84661	4.45e-18	2.27e-20	0.1104	-9.249024	-1.02086	544.83	DPY30	dpy-30 histone methyltransferase complex regulatory subunit
80789	4.55e-18	2.34e-20	0.1069	9.245684	0.9879591	365.25	INTS5	integrator complex subunit 5
440184	4.73e-18	2.46e-20	0.2358	-9.240424	-2.178735	37.61	CCDC196	coiled-coil domain containing 196
6522	4.74e-18	2.50e-20	0.1202	9.238377	1.1101992	1509.61	SLC4A2	solute carrier family 4 member 2
117246	4.74e-18	2.51e-20	0.0812	9.238108	0.7499002	713.38	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3
1431	5.25e-18	2.80e-20	0.1124	9.226301	1.0367218	1533.45	CS	citrate synthase
9314	5.48e-18	2.98e-20	0.1946	-9.219669	-1.7943714	61.89	KLF4	KLF transcription factor 4
6611	5.48e-18	2.96e-20	0.0656	-9.220257	-0.6051717	645.17	SMS	spermine synthase
440926	5.77e-18	3.18e-20	0.1311	-9.212815	-1.2076156	1423.89	H3P6	H3 histone pseudogene 6
202781	5.77e-18	3.22e-20	0.1151	-9.211218	-1.0603774	135.91	PAXIP1-DT	PAXIP1 divergent transcript
649446	5.77e-18	3.21e-20	0.1416	-9.211777	-1.3047257	62.91	DLGAP1-AS1	DLGAP1 antisense RNA 1
51304	5.87e-18	3.31e-20	0.0588	9.208441	0.5412629	1057.18	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3
1488	5.96e-18	3.39e-20	0.0968	-9.205765	-0.8914003	556.07	CTBP2	C-terminal binding protein 2
1847	6.85e-18	3.93e-20	0.1366	-9.189912	-1.2556527	218.65	DUSP5	dual specificity phosphatase 5
28952	9.90e-18	5.73e-20	0.1265	9.149345	1.1575717	222.15	CCDC22	coiled-coil domain containing 22
3184	1.05e-17	6.14e-20	0.0878	-9.141809	-0.8029951	1450.35	HNRNPD	heterogeneous nuclear ribonucleoprotein D
823	1.26e-17	7.40e-20	0.1218	9.121695	1.1110931	1169.22	CAPN1	calpain 1
284996	1.54e-17	9.13e-20	0.0996	-9.098861	-0.9062128	784.31	RNF149	ring finger protein 149
11221	1.88e-17	1.12e-19	0.1369	-9.076216	-1.2429417	542.81	DUSP10	dual specificity phosphatase 10
3858	2.16e-17	1.30e-19	0.1342	-9.060057	-1.2160777	189.54	KRT10	keratin 10
