GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
23514	3.95e-72	1.95e-76	0.0704	-18.503125	-1.3031614	3.77e+02	SPIDR	scaffold protein involved in DNA repair
2354	1.47e-56	1.45e-60	0.4615	-16.41663	-7.5764221	4.52e+01	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
5996	9.03e-50	1.33e-53	0.289	-15.413171	-4.4551704	5.30e+01	RGS1	regulator of G protein signaling 1
4929	1.07e-48	2.12e-52	0.2237	-15.233525	-3.4084867	2.57e+01	NR4A2	nuclear receptor subfamily 4 group A member 2
56892	7.39e-44	1.82e-47	0.1668	-14.471952	-2.4138684	9.80e+02	TCIM	transcriptional and immune response regulator
81575	9.50e-42	2.81e-45	0.1951	-14.121241	-2.7556564	5.85e+01	APOLD1	apolipoprotein L domain containing 1
7763	2.73e-40	9.42e-44	0.1776	-13.871582	-2.4634397	2.36e+03	ZFAND5	zinc finger AN1-type containing 5
2353	5.11e-37	2.01e-40	0.4673	-13.310365	-6.2204521	3.25e+02	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
64651	1.06e-36	4.68e-40	0.1531	-13.247206	-2.0278757	1.70e+02	CSRNP1	cysteine and serine rich nuclear protein 1
5997	4.24e-35	2.09e-38	0.1869	-12.959061	-2.4219291	1.27e+02	RGS2	regulator of G protein signaling 2
3164	5.73e-35	3.11e-38	0.2767	-12.928483	-3.5778516	4.29e+01	NR4A1	nuclear receptor subfamily 4 group A member 1
8660	9.33e-35	5.52e-38	0.2054	-12.88427	-2.646735	3.91e+02	IRS2	insulin receptor substrate 2
9682	1.09e-34	7.02e-38	0.0892	12.865733	1.1475719	9.87e+02	KDM4A	lysine demethylase 4A
125058	2.30e-33	1.59e-36	0.1124	12.622413	1.418862	5.52e+02	TBC1D16	TBC1 domain family member 16
1843	2.76e-33	2.04e-36	0.2505	-12.602814	-3.1563774	1.51e+03	DUSP1	dual specificity phosphatase 1
2137	7.74e-33	6.10e-36	0.1098	12.516004	1.3744496	6.33e+02	EXTL3	exostosin like glycosyltransferase 3
100506436	6.96e-32	5.83e-35	0.089	12.335512	1.0979682	2.30e+02	SPAG5-AS1	SPAG5 antisense RNA 1
7538	1.48e-30	1.32e-33	0.1724	-12.081861	-2.0830212	5.23e+02	ZFP36	ZFP36 ring finger protein
1052	2.25e-30	2.10e-33	0.2229	-12.043301	-2.6840702	2.52e+02	CEBPD	CCAAT enhancer binding protein delta
84747	1.10e-29	1.08e-32	0.1102	11.907456	1.3125417	6.85e+02	UNC119B	unc-119 lipid binding chaperone B
5029	4.48e-29	4.63e-32	0.173	11.785529	2.0388139	3.08e+02	P2RY2	purinergic receptor P2Y2
4616	1.20e-28	1.30e-31	0.222	-11.698463	-2.5976304	5.89e+02	GADD45B	growth arrest and DNA damage inducible beta
8013	1.37e-28	1.55e-31	0.3569	-11.683393	-4.1693023	1.10e+01	NR4A3	nuclear receptor subfamily 4 group A member 3
84231	2.44e-28	2.88e-31	0.1249	11.63048	1.4523596	9.05e+02	TRAF7	TNF receptor associated factor 7
2023	7.45e-28	9.18e-31	0.0903	11.531212	1.0415392	9.72e+03	ENO1	enolase 1
29855	8.80e-28	1.13e-30	0.0791	11.513521	0.9108427	7.77e+02	UBN1	ubinuclein 1
4792	1.04e-27	1.39e-30	0.1062	-11.495444	-1.2203092	1.95e+03	NFKBIA	NFKB inhibitor alpha
284613	2.58e-27	3.56e-30	0.105	11.414038	1.1990271	2.19e+02	CYB561D1	cytochrome b561 family member D1
648791	4.06e-27	5.80e-30	0.3318	-11.371511	-3.7728188	4.03e+01	PPP1R3G	protein phosphatase 1 regulatory subunit 3G
90390	5.84e-27	8.64e-30	0.093	-11.336641	-1.0544645	9.55e+01	MED30	mediator complex subunit 30
5211	1.21e-26	1.85e-29	0.151	11.269842	1.7021368	2.37e+03	PFKL	phosphofructokinase, liver type
284114	2.38e-26	3.76e-29	0.1602	11.207261	1.7953695	7.12e+01	TMEM102	transmembrane protein 102
26262	4.01e-26	6.52e-29	0.0869	11.158322	0.9693496	5.97e+02	TSPAN17	tetraspanin 17
23344	4.21e-26	7.05e-29	0.107	11.15134	1.1935643	2.72e+03	ESYT1	extended synaptotagmin 1
112268426	1.28e-25	2.20e-28	0.257	-11.049495	-2.8395135	1.95e+01	LOC112268426	
200081	4.32e-25	7.67e-28	0.0908	10.937047	0.9925718	1.52e+03	TXLNA	taxilin alpha
101928527	5.95e-25	1.09e-27	0.0861	-10.905397	-0.9393769	1.03e+02	PIGBOS1	PIGB opposite strand 1
161835	1.54e-24	2.88e-27	0.3681	-10.816247	-3.9813262	1.51e+01	FSIP1	fibrous sheath interacting protein 1
694	1.56e-24	2.99e-27	0.1192	-10.812834	-1.288724	2.16e+03	BTG1	BTG anti-proliferation factor 1
3312	2.16e-24	4.33e-27	0.1681	10.7789	1.8121453	2.11e+04	HSPA8	heat shock protein family A (Hsp70) member 8
4836	2.16e-24	4.36e-27	0.0649	10.778208	0.6994827	2.49e+03	NMT1	N-myristoyltransferase 1
79947	1.78e-23	3.69e-26	0.0798	10.579943	0.844219	4.58e+02	DHDDS	dehydrodolichyl diphosphate synthase subunit
6560	1.91e-23	4.06e-26	0.1052	10.571085	1.1118968	8.02e+02	SLC12A4	solute carrier family 12 member 4
63891	2.19e-23	4.75e-26	0.0889	10.556215	0.9382065	1.28e+03	RNF123	ring finger protein 123
1326	2.52e-23	5.59e-26	0.1254	-10.541066	-1.3223126	1.08e+02	MAP3K8	mitogen-activated protein kinase kinase kinase 8
3913	4.52e-23	1.02e-25	0.1313	10.483903	1.3764965	2.92e+03	LAMB2	laminin subunit beta 2
388	5.20e-23	1.20e-25	0.188	-10.468532	-1.9683172	3.93e+03	RHOB	ras homolog family member B
98	6.47e-23	1.53e-25	0.0838	-10.445812	-0.8751604	3.27e+02	ACYP2	acylphosphatase 2
55735	6.57e-23	1.59e-25	0.1089	10.442365	1.1376455	5.85e+02	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
60528	6.96e-23	1.72e-25	0.069	10.434981	0.7197596	1.16e+03	ELAC2	elaC ribonuclease Z 2
5708	7.50e-23	1.89e-25	0.1036	10.426047	1.0800127	2.26e+03	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2
22822	9.62e-23	2.47e-25	0.2048	-10.40054	-2.1300723	2.02e+02	PHLDA1	pleckstrin homology like domain family A member 1
105374898	9.98e-23	2.61e-25	0.1412	-10.395187	-1.4677066	2.26e+01	LOC105374898	uncharacterized LOC105374898
27291	1.27e-22	3.38e-25	0.0693	10.37055	0.7181821	2.86e+02	R3HCC1L	R3H domain and coiled-coil containing 1 like
23463	1.48e-22	4.02e-25	0.086	10.353811	0.8904022	9.20e+02	ICMT	isoprenylcysteine carboxyl methyltransferase
4097	2.11e-22	5.83e-25	0.0983	10.318177	1.0140052	2.66e+02	MAFG	MAF bZIP transcription factor G
10383	2.21e-22	6.21e-25	0.1251	10.31212	1.2895879	2.04e+03	TUBB4B	tubulin beta 4B class IVb
9827	2.54e-22	7.26e-25	0.0974	10.297069	1.0027753	5.30e+02	RGP1	RGP1 homolog, RAB6A GEF complex partner 1
286343	6.20e-22	1.80e-24	0.1687	-10.209211	-1.722145	2.75e+02	LURAP1L	leucine rich adaptor protein 1 like
54868	8.93e-22	2.64e-24	0.1499	10.172109	1.5242965	3.48e+02	TMEM104	transmembrane protein 104
9703	1.00e-21	3.02e-24	0.1382	10.158997	1.4034809	2.80e+03	BLTP2	bridge-like lipid transfer protein family member 2
10497	1.15e-21	3.51e-24	0.0961	10.144361	0.9753221	1.49e+03	UNC13B	unc-13 homolog B
10912	1.32e-21	4.10e-24	0.3116	-10.12926	-3.155919	1.56e+02	GADD45G	growth arrest and DNA damage inducible gamma
29080	1.39e-21	4.37e-24	0.1032	-10.122851	-1.0451328	1.93e+02	CCDC59	coiled-coil domain containing 59
113218482	1.42e-21	4.54e-24	0.1704	10.119252	1.7242277	4.07e+02	MIR9898	microRNA 9898
2041	1.98e-21	6.45e-24	0.1318	10.084814	1.3290235	9.30e+02	EPHA1	EPH receptor A1
5297	2.14e-21	7.06e-24	0.1052	10.075886	1.0597716	9.42e+02	PI4KA	phosphatidylinositol 4-kinase alpha
55662	2.25e-21	7.54e-24	0.0653	10.069447	0.657484	7.47e+02	HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor
79680	3.71e-21	1.26e-23	0.0881	10.018621	0.882544	3.30e+02	RTL10	retrotransposon Gag like 10
9670	7.89e-21	2.72e-23	0.0896	9.942331	0.890776	5.61e+02	IPO13	importin 13
80331	8.01e-21	2.80e-23	0.0844	9.939426	0.8393242	8.30e+02	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
650669	1.13e-20	4.00e-23	0.2638	9.903996	2.6129593	1.16e+02	GAS6-AS1	GAS6 antisense RNA 1
9673	1.35e-20	4.93e-23	0.0852	9.883049	0.8417971	1.36e+03	SLC25A44	solute carrier family 25 member 44
2314	1.35e-20	4.89e-23	0.1065	9.883819	1.0525683	1.15e+03	FLII	FLII actin remodeling protein
127707	2.04e-20	7.56e-23	0.1697	9.840202	1.6702725	4.91e+02	KLHDC7A	kelch domain containing 7A
9600	2.14e-20	8.01e-23	0.2002	9.834303	1.9684421	2.07e+02	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
10171	2.33e-20	8.85e-23	0.122	-9.8243	-1.1984013	1.69e+03	RCL1	RNA terminal phosphate cyclase like 1
440926	2.39e-20	9.18e-23	0.1252	-9.820649	-1.2295543	1.37e+03	H3P6	H3 histone pseudogene 6
51390	2.75e-20	1.07e-22	0.0689	-9.804866	-0.6752918	5.07e+03	AIG1	androgen induced 1
5428	2.93e-20	1.16e-22	0.0762	9.797342	0.7464185	7.28e+02	POLG	DNA polymerase gamma, catalytic subunit
153090	4.00e-20	1.60e-22	0.1451	9.764676	1.4168309	5.11e+02	DAB2IP	DAB2 interacting protein
100873985	4.01e-20	1.62e-22	0.2069	-9.763011	-2.0200874	1.16e+01	MED14OS	MED14 opposite strand
9415	4.28e-20	1.75e-22	0.2909	9.755263	2.8381052	8.52e+03	FADS2	fatty acid desaturase 2
823	5.37e-20	2.22e-22	0.118	9.731044	1.1481212	1.20e+03	CAPN1	calpain 1
64834	5.68e-20	2.38e-22	0.0913	9.724056	0.8880313	6.57e+02	ELOVL1	ELOVL fatty acid elongase 1
1847	6.45e-20	2.73e-22	0.1288	-9.709993	-1.2505672	2.14e+02	DUSP5	dual specificity phosphatase 5
3340	7.07e-20	3.03e-22	0.1173	9.699375	1.1379053	3.44e+03	NDST1	N-deacetylase and N-sulfotransferase 1
51304	7.53e-20	3.27e-22	0.0566	9.691806	0.5489548	1.06e+03	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3
84661	8.45e-20	3.78e-22	0.1049	-9.676816	-1.0146534	5.35e+02	DPY30	dpy-30 histone methyltransferase complex regulatory subunit
414328	8.45e-20	3.75e-22	0.1121	-9.677645	-1.0849216	7.23e+02	IDNK	IDNK gluconokinase
107984661	8.45e-20	3.79e-22	0.1806	9.676654	1.7474087	7.27e+01	LOC107984661	uncharacterized LOC107984661
84650	8.76e-20	3.97e-22	0.1494	-9.671836	-1.4448817	1.36e+03	EBPL	EBP like
6522	9.15e-20	4.20e-22	0.1168	9.666183	1.1286643	1.53e+03	SLC4A2	solute carrier family 4 member 2
9314	9.46e-20	4.38e-22	0.1905	-9.661736	-1.84027	5.80e+01	KLF4	KLF transcription factor 4
79065	9.88e-20	4.63e-22	0.0986	9.656182	0.952017	1.28e+03	ATG9A	autophagy related 9A
284996	1.14e-19	5.39e-22	0.0952	-9.640632	-0.9178069	7.63e+02	RNF149	ring finger protein 149
220002	1.18e-19	5.64e-22	0.109	9.635853	1.0503063	5.35e+02	CYB561A3	cytochrome b561 family member A3
3856	1.71e-19	8.25e-22	0.1511	9.596758	1.4495923	8.41e+03	KRT8	keratin 8
388789	2.37e-19	1.16e-21	0.106	-9.561819	-1.0136929	6.56e+02	SMIM26	small integral membrane protein 26
22984	2.70e-19	1.33e-21	0.0746	9.547129	0.7123059	5.30e+02	PDCD11	programmed cell death 11
56521	2.96e-19	1.47e-21	0.1666	-9.536757	-1.588526	4.92e+02	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
117246	3.85e-19	1.93e-21	0.0803	9.50849	0.763811	7.19e+02	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3
399909	4.11e-19	2.09e-21	0.1449	9.500468	1.376589	5.94e+02	PCNX3	pecanex 3
3491	4.79e-19	2.45e-21	0.2967	-9.483703	-2.8136194	1.66e+02	CCN1	cellular communication network factor 1
51667	5.16e-19	2.68e-21	0.0833	9.474358	0.7892397	8.64e+02	NUB1	negative regulator of ubiquitin like proteins 1
24144	5.16e-19	2.70e-21	0.0659	9.473847	0.6241778	6.21e+02	TFIP11	tuftelin interacting protein 11
10608	5.56e-19	2.95e-21	0.1505	9.464338	1.4240318	7.83e+02	MXD4	MAX dimerization protein 4
55222	5.56e-19	2.97e-21	0.1169	9.463936	1.1059913	7.62e+02	LRRC20	leucine rich repeat containing 20
84271	5.56e-19	2.99e-21	0.0765	9.463154	0.7234821	1.04e+03	POLDIP3	DNA polymerase delta interacting protein 3
200205	5.95e-19	3.23e-21	0.1176	9.455102	1.1122781	2.85e+02	IBA57	iron-sulfur cluster assembly factor IBA57
100302739	6.23e-19	3.41e-21	0.199	9.449289	1.8799732	8.88e+01	PCNA-AS1	PCNA antisense RNA 1
644815	6.49e-19	3.58e-21	0.2096	9.444197	1.9797352	7.21e+02	FAM83G	family with sequence similarity 83 member G
3184	8.16e-19	4.54e-21	0.0843	-9.419234	-0.7939367	1.43e+03	HNRNPD	heterogeneous nuclear ribonucleoprotein D
9683	8.61e-19	4.84e-21	0.0715	9.412585	0.6726436	4.38e+02	N4BP1	NEDD4 binding protein 1
28952	9.07e-19	5.14e-21	0.1267	9.406243	1.191473	2.27e+02	CCDC22	coiled-coil domain containing 22
59274	9.34e-19	5.35e-21	0.1247	-9.402022	-1.1728614	1.18e+02	TLNRD1	talin rod domain containing 1
23326	9.34e-19	5.39e-21	0.0816	9.401316	0.7669019	2.21e+03	USP22	ubiquitin specific peptidase 22
10419	1.07e-18	6.25e-21	0.092	9.385729	0.8639263	4.65e+02	PRMT5	protein arginine methyltransferase 5
6837	1.21e-18	7.07e-21	0.1169	9.372678	1.0957742	2.51e+02	MED22	mediator complex subunit 22
6611	1.24e-18	7.36e-21	0.0649	-9.368446	-0.6079877	6.35e+02	SMS	spermine synthase
84803	1.33e-18	7.93e-21	0.2293	-9.360557	-2.1464764	1.65e+02	GPAT3	glycerol-3-phosphate acyltransferase 3
7407	1.56e-18	9.36e-21	0.1309	9.343005	1.2229634	6.37e+02	VARS1	valyl-tRNA synthetase 1
100500842	1.69e-18	1.02e-20	0.2969	9.333492	2.7710667	2.89e+02	MIR3652	microRNA 3652
83985	1.70e-18	1.05e-20	0.1349	9.331178	1.2586348	3.72e+02	SPNS1	SPNS lysolipid transporter 1, lysophospholipid
10469	1.70e-18	1.04e-20	0.1091	9.331422	1.0183598	4.44e+02	TIMM44	translocase of inner mitochondrial membrane 44
80789	1.79e-18	1.11e-20	0.1104	9.32453	1.0297902	3.76e+02	INTS5	integrator complex subunit 5
9708	1.86e-18	1.16e-20	0.1427	-9.320024	-1.3295326	2.67e+01	PCDHGA8	protocadherin gamma subfamily A, 8
259307	2.10e-18	1.33e-20	0.2645	9.306036	2.4615548	6.57e+02	IL4I1	interleukin 4 induced 1
1051	2.21e-18	1.40e-20	0.1776	-9.300106	-1.6512701	8.59e+02	CEBPB	CCAAT enhancer binding protein beta
51493	2.93e-18	1.88e-20	0.1085	9.268965	1.005479	1.66e+03	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase
8078	3.06e-18	1.98e-20	0.0924	9.263446	0.8562535	1.06e+03	USP5	ubiquitin specific peptidase 5
10985	3.17e-18	2.06e-20	0.0811	9.259022	0.7511806	1.46e+03	GCN1	GCN1 activator of EIF2AK4
1488	5.23e-18	3.43e-20	0.0974	-9.204545	-0.8968607	5.44e+02	CTBP2	C-terminal binding protein 2
90522	6.43e-18	4.25e-20	0.1324	9.181588	1.2154637	4.33e+02	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein
